Gender,Weight,Championship,Round,Fighter,Points,Result,How,Time,Day,Match No,Place
Male,Men -77kg,Championship,Quarter-Finals,Celso Vinicius,0,l,score,15:00,Saturday,64,
Male,Men -77kg,Championship,Semi-Finals,JT Torres,2,w,score,15:00,Sunday,75,
Male,Men -77kg,Championship,Semi-Finals,Garry Tonon,0,l,score,15:00,Sunday,75,
Male,Men -77kg,Championship,Semi-Finals,Dante Leon,0,l,ref decision,15:00,Sunday,76,
Male,Men -77kg,Championship,Semi-Finals,Vagner Rocha,0,w,ref decision,15:00,Sunday,76,
Male,Men -77kg,Championship,Final,JT Torres,3,w,submission,7:59,Sunday,93,Gold
Male,Men -77kg,Championship,Final,Vagner Rocha,0,l,submission,7:59,Sunday,93,Silver
Male,Men -77kg,Consolation,Consolation,Garry Tonon,0,w,submission,5:22,Sunday,86,Bronze
Male,Men -77kg,Consolation,Consolation,Dante Leon,0,l,submission,5:22,Sunday,86,
Male,Men -88kg,Championship,Round of 16,Craig Jones,0,w,submission,6:22,Saturday,17,
Male,Men -88kg,Championship,Round of 16,Ben Dyson,0,l,submission,6:22,Saturday,17,
Male,Men -88kg,Championship,Round of 16,Mason Fowler,0,w,ref decision,15:00,Saturday,18,
Male,Men -88kg,Championship,Round of 16,Valdir Araujo,0,l,ref decision,15:00,Saturday,18,
Male,Men -88kg,Championship,Round of 16,Rustam Chsiev,0,l,submission,6:32,Saturday,19,
Male,Men -88kg,Championship,Round of 16,Jon Blank,0,w,submission,6:32,Saturday,19,
Male,Men -88kg,Championship,Round of 16,Murilo Santana,0,w,score,10:00,Saturday,20,
Male,Men -88kg,Championship,Round of 16,Keller Locke-Sodhi,0,l,score,10:00,Saturday,20,
Male,Men -88kg,Championship,Round of 16,Josh Hinger,3,w,submission,9:39,Saturday,21,
Male,Men -88kg,Championship,Round of 16,Gabriel Almeida,0,l,submission,9:39,Saturday,21,
Male,Men -88kg,Championship,Round of 16,Adam Wardzinski,0,w,ref decision,15:00,Saturday,22,
Male,Men -88kg,Championship,Round of 16,Mike Perez,0,l,ref decision,15:00,Saturday,22,
Male,Men -88kg,Championship,Round of 16,Matheus Diniz,5,w,score,10:00,Saturday,23,
Male,Men -88kg,Championship,Round of 16,Pedro Marinho,0,l,score,10:00,Saturday,23,
Male,Men -88kg,Championship,Round of 16,Gabriel Arges,5,w,score,10:00,Saturday,24,
Male,Men -88kg,Championship,Round of 16,Alec Baulding,0,l,score,10:00,Saturday,24,
Male,Men -88kg,Championship,Quarter-Finals,Craig Jones,0,w,submission,9:28,Saturday,57,
Male,Men -88kg,Championship,Quarter-Finals,Mason Fowler,0,l,submission,9:28,Saturday,57,
Male,Men -88kg,Championship,Quarter-Finals,Jon Blank,0,w,ref decision,15:00,Saturday,58,
Male,Men -88kg,Championship,Quarter-Finals,Murilo Santana,0,l,ref decision,15:00,Saturday,58,
Male,Men -88kg,Championship,Quarter-Finals,Josh Hinger,3,w,submission,9:17,Saturday,59,
Male,Men -88kg,Championship,Quarter-Finals,Adam Wardzinski,0,l,submission,9:17,Saturday,59,
Male,Men -88kg,Championship,Quarter-Finals,Matheus Diniz,0,w,ref decision,15:00,Saturday,60,
Male,Men -88kg,Championship,Quarter-Finals,Gabriel Arges,0,l,ref decision,15:00,Saturday,60,
Male,Men -88kg,Championship,Semi-Finals,Craig Jones,0,w,submission,2:00,Sunday,73,
Male,Men -88kg,Championship,Semi-Finals,Jon Blank,0,l,submission,2:00,Sunday,73,
Male,Men -88kg,Championship,Semi-Finals,Josh Hinger,0,l,score,10:00,Sunday,74,
Male,Men -88kg,Championship,Semi-Finals,Matheus Diniz,3,w,score,10:00,Sunday,74,
Male,Men -88kg,Championship,Final,Craig Jones,0,l,score,30,Sunday,92,Silver
Male,Men -88kg,Championship,Final,Matheus Diniz,2,w,score,30,Sunday,92,Gold
Male,Men -88kg,Consolation,Consolation,Josh Hinger,3,w,score,10:00,Sunday,85,Bronze
Male,Men -88kg,Consolation,Consolation,Jon Blank,0,l,score,10:00,Sunday,85,
Male,Men -99kg,Championship,Round of 16,Gordon Ryan,0,w,submission,1:47,Saturday,9,
Male,Men -99kg,Championship,Round of 16,Ben Hodgkinson,0,l,submission,1:47,Saturday,9,
Male,Men -99kg,Championship,Round of 16,Tim Spriggs,0,w,submission,1:56,Saturday,10,
Male,Men -99kg,Championship,Round of 16,Fellipe Andrew,0,l,submission,1:56,Saturday,10,
Male,Men -99kg,Championship,Round of 16,"Lucas ""Hulk"" Barbosa",3,w,score,10:00,Saturday,11,
Male,Men -99kg,Championship,Round of 16,Perttu Tepponen,0,l,score,10:00,Saturday,11,
Male,Men -99kg,Championship,Round of 16,Patrick Gaudio,8,w,score,10:00,Saturday,12,
Male,Men -99kg,Championship,Round of 16,Mraz Avdoyan,0,l,score,10:00,Saturday,12,
Male,Men -99kg,Championship,Round of 16,Vinny Magalhaes,4,w,score,10:00,Saturday,13,
Male,Men -99kg,Championship,Round of 16,Dan Martinez,0,l,score,10:00,Saturday,13,
Male,Men -99kg,Championship,Round of 16,"Aaron ""Tex"" Johnson",0,l,score,10:00,Saturday,14,
Male,Men -99kg,Championship,Round of 16,James Puopolo,3,w,score,10:00,Saturday,14,
Male,Men -99kg,Championship,Round of 16,Jackson Sousa,0,w,ref decision,15:00,Saturday,15,
Male,Men -99kg,Championship,Round of 16,Paulo Jose Barauna,0,l,ref decision,15:00,Saturday,15,
Male,Men -99kg,Championship,Round of 16,Vinicius Gazola,0,w,score,15:00,Saturday,16,
Male,Men -99kg,Championship,Round of 16,Paul Ardila-Ibarra,0,l,score,15:00,Saturday,16,
Male,Men -99kg,Championship,Quarter-Finals,Gordon Ryan,3,w,submission,7:12,Saturday,53,
Male,Men -99kg,Championship,Quarter-Finals,Tim Spriggs,0,l,submission,7:12,Saturday,53,
Male,Men -99kg,Championship,Quarter-Finals,"Lucas ""Hulk"" Barbosa",0,w,ref decision,15:00,Saturday,54,
Male,Men -99kg,Championship,Quarter-Finals,Patrick Gaudio,0,l,ref decision,15:00,Saturday,54,
Male,Men -99kg,Championship,Quarter-Finals,Vinny Magalhaes,2,w,score,10:00,Saturday,55,
Male,Men -99kg,Championship,Quarter-Finals,James Puopolo,0,l,score,10:00,Saturday,55,
Male,Men -99kg,Championship,Quarter-Finals,Jackson Sousa,0,l,ref decision,15:00,Saturday,56,
Male,Men -99kg,Championship,Quarter-Finals,Vinicius Gazola,0,w,ref decision,15:00,Saturday,56,
Male,Men -99kg,Championship,Semi-Finals,Gordon Ryan,3,w,score,15:00,Sunday,71,
Male,Men -99kg,Championship,Semi-Finals,"Lucas ""Hulk"" Barbosa",0,l,score,15:00,Sunday,71,
Male,Men -99kg,Championship,Semi-Finals,Vinny Magalhaes,0,l,score,10:00,Sunday,72,
Male,Men -99kg,Championship,Semi-Finals,Vinicius Gazola,2,w,score,10:00,Sunday,72,
Male,Men -99kg,Championship,Final,Gordon Ryan,0,w,submission,9:17,Sunday,91,Gold
Male,Men -99kg,Championship,Final,Vinicius Gazola,0,l,submission,9:17,Sunday,91,Silver
Male,Men -99kg,Consolation,Consolation,"Lucas ""Hulk"" Barbosa",0,w,forfeit,0:00,Sunday,84,Bronze
Male,Men -99kg,Consolation,Consolation,Vinny Magalhaes,0,l,forfeit,0:00,Sunday,84,
Male,Men +99kg,Championship,Round of 16,Marcus Buchecha Almeida,2,w,score,10:00,Saturday,1,
Male,Men +99kg,Championship,Round of 16,Antonio Braga Neto,0,l,score,10:00,Saturday,1,
Male,Men +99kg,Championship,Round of 16,Jared Dopp,0,l,score,10:00,Saturday,2,
Male,Men +99kg,Championship,Round of 16,Victor Hugo,4,w,score,10:00,Saturday,2,
Male,Men +99kg,Championship,Round of 16,Yuri Simoes,3,w,submission,8:07,Saturday,3,
Male,Men +99kg,Championship,Round of 16,Eliot Marshall,0,l,submission,8:07,Saturday,3,
Male,Men +99kg,Championship,Round of 16,Kaynan Duarte,0,w,submission,1:33,Saturday,4,
Male,Men +99kg,Championship,Round of 16,Eldar Rafigaev,0,l,submission,1:33,Saturday,4,
Male,Men +99kg,Championship,Round of 16,Orlando Sanchez,2,w,score,15:00,Saturday,5,
Male,Men +99kg,Championship,Round of 16,Mateusz Juskowiak,0,l,score,15:00,Saturday,5,
Male,Men +99kg,Championship,Round of 16,Nick Rodriguez,0,w,ref decision,15:00,Saturday,6,
Male,Men +99kg,Championship,Round of 16,Mahamed Aly,0,l,ref decision,15:00,Saturday,6,
Male,Men +99kg,Championship,Round of 16,"Roberto ""Cyborg"" Abreu",2,w,score,10:00,Saturday,7,
Male,Men +99kg,Championship,Round of 16,Hudson Taylor,0,l,score,10:00,Saturday,7,
Male,Men +99kg,Championship,Round of 16,Max Gimenis,0,l,ref decision,15:00,Saturday,8,
Male,Men +99kg,Championship,Round of 16,John Hansen,0,w,ref decision,15:00,Saturday,8,
Male,Men +99kg,Championship,Quarter-Finals,Marcus Buchecha Almeida,3,w,score,10:00,Saturday,49,
Male,Men +99kg,Championship,Quarter-Finals,Victor Hugo,0,l,score,10:00,Saturday,49,
Male,Men +99kg,Championship,Quarter-Finals,Yuri Simoes,0,l,score,10:00,Saturday,50,
Male,Men +99kg,Championship,Quarter-Finals,Kaynan Duarte,3,w,score,10:00,Saturday,50,
Male,Men +99kg,Championship,Quarter-Finals,Orlando Sanchez,0,l,score,10:00,Saturday,51,
Male,Men +99kg,Championship,Quarter-Finals,Nick Rodriguez,0,w,score,10:00,Saturday,51,
Male,Men +99kg,Championship,Quarter-Finals,"Roberto ""Cyborg"" Abreu",6,w,score,10:00,Saturday,52,
Male,Men +99kg,Championship,Quarter-Finals,John Hansen,0,l,score,10:00,Saturday,52,
Male,Men +99kg,Championship,Semi-Finals,Marcus Buchecha Almeida,0,l,ref decision,15:00,Sunday,69,
Male,Men +99kg,Championship,Semi-Finals,Kaynan Duarte,0,w,ref decision,15:00,Sunday,69,
Male,Men +99kg,Championship,Semi-Finals,Nick Rodriguez,0,w,ref decision,15:00,Sunday,70,
Male,Men +99kg,Championship,Semi-Finals,"Roberto ""Cyborg"" Abreu",0,l,ref decision,15:00,Sunday,70,
Male,Men +99kg,Championship,Final,Kaynan Duarte,3,w,score,20:00,Sunday,90,Gold
Male,Men +99kg,Championship,Final,Nick Rodriguez,0,l,score,20:00,Sunday,90,Silver
Male,Men +99kg,Consolation,Consolation,Marcus Buchecha Almeida,0,w,forfeit,0:00,Sunday,83,Bronze
Male,Men +99kg,Consolation,Consolation,"Roberto ""Cyborg"" Abreu",0,l,forfeit,0:00,Sunday,83,
Male,Absolute,Championship,Round of 16,Marcus Buchecha Almeida,0,w,submission,4:15,Sunday,97,
Male,Absolute,Championship,Round of 16,Keith Krikorian,0,l,submission,4:15,Sunday,97,
Male,Absolute,Championship,Round of 16,"Aaron ""Tex"" Johnson",0,w,submission,0:27,Sunday,98,
Male,Absolute,Championship,Round of 16,Jon Blank,0,l,submission,0:27,Sunday,98,
Male,Absolute,Championship,Round of 16,Mahamed Aly,3,w,submission,9:15,Sunday,99,
Male,Absolute,Championship,Round of 16,John Hansen,0,l,submission,9:15,Sunday,99,
Male,Absolute,Championship,Round of 16,Tim Spriggs,0,w,submission,4:39,Sunday,100,
Male,Absolute,Championship,Round of 16,Jared Dopp,0,l,submission,4:39,Sunday,100,
Male,Absolute,Championship,Round of 16,Gordon Ryan,0,w,submission,3:02,Sunday,101,
Male,Absolute,Championship,Round of 16,Pedro Marinho,0,l,submission,3:02,Sunday,101,
Male,Absolute,Championship,Round of 16,Garry Tonon,0,w,submission,0:18,Sunday,102,
Male,Absolute,Championship,Round of 16,Edwin Najmi,0,l,submission,0:18,Sunday,102,
Male,Absolute,Championship,Round of 16,Kaynan Duarte,0,l,submission,3:04,Sunday,103,
Male,Absolute,Championship,Round of 16,Lachlan Giles,0,w,submission,3:04,Sunday,103,
Male,Absolute,Championship,Round of 16,Mike Perez,0,l,score,10:00,Sunday,104,
Male,Absolute,Championship,Round of 16,Patrick Gaudio,2,w,score,10:00,Sunday,104,
Male,Absolute,Championship,Quarter-Finals,Marcus Buchecha Almeida,3,w,score,10:00,Sunday,105,
Male,Absolute,Championship,Quarter-Finals,"Aaron ""Tex"" Johnson",0,l,score,10:00,Sunday,105,
Male,Absolute,Championship,Quarter-Finals,Mahamed Aly,0,w,score,10:00,Sunday,106,
Male,Absolute,Championship,Quarter-Finals,Tim Spriggs,0,l,score,10:00,Sunday,106,
Male,Absolute,Championship,Quarter-Finals,Gordon Ryan,0,w,submission,3:11,Sunday,107,
Male,Absolute,Championship,Quarter-Finals,Garry Tonon,0,l,submission,3:11,Sunday,107,
Male,Absolute,Championship,Quarter-Finals,Lachlan Giles,0,w,submission,3:25,Sunday,108,
Male,Absolute,Championship,Quarter-Finals,Patrick Gaudio,0,l,submission,3:25,Sunday,108,
Male,Absolute,Championship,Semi-Finals,Marcus Buchecha Almeida,3,w,submission,6:52,Sunday,109,
Male,Absolute,Championship,Semi-Finals,Mahamed Aly,0,l,submission,6:52,Sunday,109,
Male,Absolute,Championship,Semi-Finals,Gordon Ryan,3,w,submission,7:47,Sunday,110,
Male,Absolute,Championship,Semi-Finals,Lachlan Giles,0,l,submission,7:47,Sunday,110,
Male,Absolute,Championship,Final,Gordon Ryan,0,w,score,30,Sunday,111,Gold
Male,Absolute,Championship,Final,Marcus Buchecha Almeida,0,l,score,30,Sunday,111,Silver
Male,Absolute,Consolation,Consolation,Mahamed Aly,0,l,submission,7:12,Sunday,112,
Male,Absolute,Consolation,Consolation,Lachlan Giles,0,w,submission,7:12,Sunday,112,Bronze
Female,Women -60kg,Championship,Quarter-Finals,Beatriz Mesquita,0,w,submission,1:46,Saturday,45,
Female,Women -60kg,Championship,Quarter-Finals,Jena Bishop,0,l,submission,1:46,Saturday,45,
Female,Women -60kg,Championship,Quarter-Finals,Ffion Davies,12,w,score,10:00,Saturday,46,
Female,Women -60kg,Championship,Quarter-Finals,Rikako Yuasa,0,l,score,10:00,Saturday,46,
Female,Women -60kg,Championship,Quarter-Finals,Bianca Basilio,0,w,submission,2:17,Saturday,47,
Female,Women -60kg,Championship,Quarter-Finals,Livia Giles,0,l,submission,2:17,Saturday,47,
Female,Women -60kg,Championship,Quarter-Finals,Elvira Karppinen,2,w,score,10:00,Saturday,48,
Female,Women -60kg,Championship,Quarter-Finals,Catherine Perret,0,l,score,10:00,Saturday,48,
Female,Women -60kg,Championship,Semi-Finals,Beatriz Mesquita,0,l,submission,5:13,Sunday,81,
Female,Women -60kg,Championship,Semi-Finals,Ffion Davies,0,w,submission,5:13,Sunday,81,
Female,Women -60kg,Championship,Semi-Finals,Bianca Basilio,2,w,score,15:00,Sunday,82,
Female,Women -60kg,Championship,Semi-Finals,Elvira Karppinen,0,l,score,15:00,Sunday,82,
Female,Women -60kg,Championship,Final,Ffion Davies,0,l,submission,2:43,Sunday,96,Silver
Female,Women -60kg,Championship,Final,Bianca Basilio,0,w,submission,2:43,Sunday,96,Gold
Female,Women -60kg,Consolation,Consolation,Beatriz Mesquita,0,l,forfeit,0:00,Sunday,89,
Female,Women -60kg,Consolation,Consolation,Elvira Karppinen,0,w,forfeit,0:00,Sunday,89,Bronze
Female,Women +60kg,Championship,Quarter-Finals,Gabi Garcia,2,w,score,15:00,Saturday,41,
Female,Women +60kg,Championship,Quarter-Finals,Stephanie Egger,0,l,score,15:00,Saturday,41,
Female,Women +60kg,Championship,Quarter-Finals,Amanda Leve,0,l,submission,13:11,Saturday,42,
Female,Women +60kg,Championship,Quarter-Finals,Ana Carolina Vieira,0,w,submission,13:11,Saturday,42,
Female,Women +60kg,Championship,Quarter-Finals,Tayane Porfirio,0,w,ref decision,15:00,Saturday,43,
Female,Women +60kg,Championship,Quarter-Finals,Jessica Flowers,0,l,ref decision,15:00,Saturday,43,
Female,Women +60kg,Championship,Quarter-Finals,Nathiely de Jesus,0,l,score,10:00,Saturday,44,
Female,Women +60kg,Championship,Quarter-Finals,Carina Santi,8,w,score,10:00,Saturday,44,
Female,Women +60kg,Championship,Semi-Finals,Gabi Garcia,0,w,ref decision,15:00,Sunday,79,
Female,Women +60kg,Championship,Semi-Finals,Ana Carolina Vieira,0,l,ref decision,15:00,Sunday,79,
Female,Women +60kg,Championship,Semi-Finals,Tayane Porfirio,0,l,ref decision,15:00,Sunday,80,
Female,Women +60kg,Championship,Semi-Finals,Carina Santi,0,w,ref decision,15:00,Sunday,80,
Female,Women +60kg,Championship,Final,Gabi Garcia,0,w,submission,7:35,Sunday,95,Gold
Female,Women +60kg,Championship,Final,Carina Santi,0,l,submission,7:35,Sunday,95,Silver
Female,Women +60kg,Consolation,Consolation,Ana Carolina Vieira,0,l,score,10:00,Sunday,88,
Female,Women +60kg,Consolation,Consolation,Tayane Porfirio,5,w,score,10:00,Sunday,88,Bronze
Male,Super Fight,Super Fight,Super Fight,Andre Galvao,2,w,score,30,Sunday,113,Gold
Male,Super Fight,Super Fight,Super Fight,Felipe Pena,0,l,score,30,Sunday,113,Silver
